O 11.24
G 10.65
S 8.43
U 7.99
H 7.84
X 7.10
R 6.07
C 5.47
E 5.18
N 3.55
W 3.40
D 2.96
A 2.81
K 2.81
M 2.81
P 2.66
B 2.37
F 2.37
Q 1.33
J 1.18
V 0.74
L 0.59
Z 0.44
